,Date,states,Lst_price,sret,mkt_cret,Ticker
884,2019-08-02,0,1.2162,0.0027995077979019807,-0.18782902901624157,GBPUSD
885,2019-08-05,0,1.2143,-0.0015634646262361047,-0.18939249364247768,GBPUSD
886,2019-08-06,0,1.2171,0.0023032008207381906,-0.1870892928217395,GBPUSD
887,2019-08-07,0,1.2143,-0.0023032008207381272,-0.18939249364247762,GBPUSD
888,2019-08-08,0,1.2133,-0.0008238590019458633,-0.1902163526444235,GBPUSD
889,2019-08-09,0,1.2033,-0.008276137613710493,-0.19849249025813398,GBPUSD
890,2019-08-12,0,1.2076,0.003567136388566763,-0.19492535386956722,GBPUSD
891,2019-08-13,0,1.206,-0.0013258205455530438,-0.19625117441512027,GBPUSD
892,2019-08-14,0,1.206,0.0,-0.19625117441512027,GBPUSD
893,2019-08-15,0,1.2088,0.0023190336713990733,-0.1939321407437212,GBPUSD
894,2019-08-16,0,1.2149,0.005033636902166617,-0.18889850384155457,GBPUSD
895,2019-08-19,0,1.2126,-0.0018949542230663101,-0.1907934580646209,GBPUSD
896,2019-08-20,0,1.217,0.003621999349897031,-0.18717145871472385,GBPUSD
897,2019-08-21,0,1.213,-0.0032921840434770055,-0.19046364275820085,GBPUSD
898,2019-08-22,0,1.2251,0.009925843356074642,-0.18053779940212622,GBPUSD
899,2019-08-23,0,1.2266,0.0012236408917582972,-0.17931415851036792,GBPUSD
900,2019-08-27,0,1.229,0.001954716374151652,-0.17735944213621627,GBPUSD
901,2019-08-28,0,1.2212,-0.006366848705312083,-0.18372629084152836,GBPUSD
902,2019-08-29,0,1.2181,-0.00254171415480964,-0.186268004996338,GBPUSD
903,2019-08-30,0,1.2156,-0.0020544856632752073,-0.1883224906596132,GBPUSD
904,2019-09-03,0,1.2081,-0.006188904517119921,-0.19451139517673313,GBPUSD
905,2019-09-04,0,1.2253,0.014136834429882825,-0.18037456074685032,GBPUSD
906,2019-09-05,0,1.2334,0.006588871601991698,-0.17378568914485862,GBPUSD
907,2019-09-06,0,1.2283,-0.004143484012343856,-0.17792917315720247,GBPUSD
908,2019-09-09,0,1.2346,0.005115931414746713,-0.17281324174245577,GBPUSD
909,2019-09-10,0,1.235,0.0003239391022822462,-0.17248930264017354,GBPUSD
910,2019-09-11,0,1.2326,-0.0019452105339349654,-0.1744345131741085,GBPUSD
911,2019-09-12,0,1.2335,0.0007298974412686519,-0.17370461573283985,GBPUSD
912,2019-09-13,0,1.2501,0.013367891127105945,-0.1603367246057339,GBPUSD
913,2019-09-16,0,1.2431,-0.005615288298847646,-0.16595201290458153,GBPUSD
914,2019-09-17,0,1.25,0.005535291498677055,-0.1604167214059045,GBPUSD
915,2019-09-18,0,1.2472,-0.0022425125527799528,-0.16265923395868445,GBPUSD
916,2019-09-19,0,1.2526,0.004320352347745624,-0.15833888161093881,GBPUSD
917,2019-09-20,0,1.2478,-0.003839390414626419,-0.16217827202556523,GBPUSD
918,2019-09-23,0,1.2429,-0.003934641925220215,-0.16611291395078545,GBPUSD
919,2019-09-24,0,1.2487,0.004655651369633553,-0.1614572625811519,GBPUSD
920,2019-09-25,0,1.2353,-0.010789154578331277,-0.17224641715948316,GBPUSD
921,2019-09-26,0,1.2328,-0.0020258505368621832,-0.17427226769634535,GBPUSD
922,2019-09-27,0,1.2292,-0.0029244537495763164,-0.17719672144592166,GBPUSD
923,2019-09-30,0,1.2289,-0.0002440909657780042,-0.17744081241169968,GBPUSD
924,2019-10-01,0,1.2302,0.0010572974837161277,-0.17638351492798354,GBPUSD
925,2019-10-02,0,1.2303,8.12842918553953e-05,-0.17630223063612815,GBPUSD
926,2019-10-03,0,1.2332,0.002354374945872203,-0.17394785569025595,GBPUSD
927,2019-10-04,0,1.2331,-8.10931355104994e-05,-0.17402894882576644,GBPUSD
928,2019-10-07,0,1.2293,-0.0030864222031895027,-0.17711537102895594,GBPUSD
929,2019-10-08,0,1.2219,-0.006037877350818842,-0.18315324837977479,GBPUSD
